key	authors	title	venue	year	arxiv_or_doi	relevance	confidence
siems2025deltaproduct	Julien Siems, Timur Carstensen, Arber Zela, Frank Hutter, Massimiliano Pontil, Riccardo Grazzi	DeltaProduct: Improving State-Tracking in Linear RNNs via Householder Products	NeurIPS 2025	2025	arXiv:2502.10297 (v7, 22 Oct 2025)	The R>1 Householder-product mechanism. Its Theorem 1 gives the three routes for S_n. Evaluates S3/S4/A5/S5 at 1 layer varying n_h, and layers at n_h=1. Gate is a Mamba2 per-head SCALAR.	confirmed
grazzi2025unlocking	Riccardo Grazzi, Julien Siems, Arber Zela, Jorg K.H. Franke, Frank Hutter, Massimiliano Pontil	Unlocking State-Tracking in Linear RNNs Through Negative Eigenvalues	ICLR 2025	2025	arXiv:2411.12537 (v5, 18 Mar 2025)	Source of allow_neg_eigval. Thm 1: parity needs a non-nonnegative eigenvalue. Thm 3: FSA whose transition monoid is a group, 1 layer, k-1 Householders. Prop 1.1: spectral norm <= 1.	confirmed
team2025kimi	Kimi Team (Yu Zhang, Zongyu Lin, Xingcheng Yao, Jiaxi Hu, Fanqing Meng, ... Yulun Du)	Kimi Linear: An Expressive, Efficient Attention Architecture	tech report (no venue)	2025	arXiv:2510.26692 (v2, 1 Nov 2025)	Defines KDA. Recurrence S_t = (I - beta k k^T) Diag(alpha_t) S_{t-1} + beta k v^T. head dim d_k = d_v = 128 in all experiments. NO gate-granularity ablation anywhere.	confirmed
yang2025gated	Songlin Yang, Jan Kautz, Ali Hatamizadeh	Gated Delta Networks: Improving Mamba2 with Delta Rule	ICLR 2025	2025	arXiv:2412.06464 (v3, Mar 2025)	GDN, the per-HEAD scalar-gate comparator. Eq 8 alpha_t is scalar per head; paper itself notes GLA-like diagonal gating is left to future work.	confirmed
barrington1989	David A. Mix Barrington	Bounded-width polynomial-size branching programs recognize exactly those languages in NC^1	J. Computer and System Sciences 38(1):150-164 (STOC 1986 special issue)	1989	doi:10.1016/0022-0000(89)90037-8 (STOC: 10.1145/12130.12131)	The NC1-completeness half: the word problem of any finite NON-SOLVABLE group is NC1-complete. S5/width-5 is the construction, not the title.	confirmed
barrington1988finite	David A. Mix Barrington, Denis Therien	Finite monoids and the fine structure of NC^1	Journal of the ACM 35(4):941-952	1988	doi:10.1145/48014.63138	The ACC0 half: solvable monoids characterize ACC0. Needed for "solvable groups' word problems are easy". Primary text paywalled; dichotomy verified via Bartholdi et al. CCC 2020 restatement.	partially confirmed
liu2023shortcuts	Bingbin Liu, Jordan T. Ash, Surbhi Goel, Akshay Krishnamurthy, Cyril Zhang	Transformers Learn Shortcuts to Automata	ICLR 2023	2023	arXiv:2210.10749	The depth/solvability split for sequence models. Thm 2: solvable semiautomata at depth independent of T. Thm 4: non-solvable impossible at T-independent depth unless TC0 = NC1.	confirmed
merrill2024illusion	William Merrill, Jackson Petty, Ashish Sabharwal	The Illusion of State in State-Space Models	ICML 2024	2024	arXiv:2404.08819	SSMs are in L-uniform TC0; cannot solve S5 unless TC0 = NC1. Source of the S3/S4/A5/S5 task code DeltaProduct uses. CAVEAT: empirically their solvable A4xZ5 ALSO needed growing depth.	confirmed
merrill2023parallelism	William Merrill, Ashish Sabharwal	The Parallelism Tradeoff: Limitations of Log-Precision Transformers	TACL 11:531-545	2023	arXiv:2207.00729; doi:10.1162/tacl_a_00562	Log-precision transformers are in logspace-uniform TC0. The upper bound that makes S5 (NC1-complete) out of reach.	confirmed
sarrof2024expressive	Yash Sarrof, Yana Veitsman, Michael Hahn	The Expressive Capacity of State Space Models: A Formal Language Perspective	NeurIPS 2024	2024	arXiv:2405.17394	Thm 2: no SSM with a NONNEGATIVE gate recognizes parity. The result Grazzi et al. generalize. NB their condition is gate nonnegativity, not "eigenvalues in [0,1]" (that framing is Grazzi et al.'s).	confirmed
peng2025rwkv7	Bo Peng et al. (RWKV team)	RWKV-7 "Goose" with Expressive Dynamic State Evolution	preprint	2025	arXiv:2503.14456	CRITICAL PRIOR ART: RWKV-7 already pairs a per-channel vector decay diag(w_t) with a Householder-like rank-1 term, at R=1. So per-channel-gate + Householder is not novel; only R>1 is.	confirmed
li2026eda	Xiao Li, Chengruidong Zhang, Hao Luo, Xi Lin, Zekun Wang, Zihan Qiu, Yunfei Mao, Langshi Chen, Man Yuan, Minmin Sun, Huiqiang Jiang, Siqi Zhang, Rui Men, Wei Hu, Gong Cheng, Bo Zheng, Dayiheng Liu, Jingren Zhou	Erase-then-Delta Attention: Decoupling Erase and Write Addresses in Delta-Rule Linear Attention	preprint (Qwen/Alibaba)	2026	arXiv:2606.26560 (25 Jun 2026)	CRITICAL PRIOR ART: trains per-channel Diag(alpha_t) with TWO rank-1 factors per token at 2.5B dense / 25B-A2.8B MoE, via the same interleave-into-2T + KDA WY-kernel trick. Second factor is an asymmetric erase (v=0), fixed R=2.	confirmed
hatamizadeh2026gdn2	Ali Hatamizadeh, Yejin Choi, Jan Kautz	Gated DeltaNet-2: Decoupling Erase and Write in Linear Attention	tech report (NVlabs)	2026	arXiv:2605.22791 (21 May 2026)	Channel-wise erase+write gates at R=1. Table 5 is a real channel-vs-scalar gate ablation at 1.3B/100B: scalarizing either gate hurts. Also reports beta in [0,2] gives no consistent gain at 1.3B.	confirmed
sun2026fg2gdn	Pingwei Sun, Yuxuan Hu, Jianchao Tan, Xue Wang, Jiaqi Zhang, Yifan Lu, Yerui Sun, Yuchen Xie, Xunliang Cai	FG^2-GDN: Enhancing Long-Context Gated Delta Networks with Doubly Fine-Grained Control	preprint	2026	arXiv:2604.19021 (v2, 3 May 2026)	Channel-wise decay AND channel-wise beta, R=1. Their Table 1 at 340M/15B has KDA (43.14) BELOW GDN (43.51) - independent published support that per-channel > per-head is scale-dependent.	confirmed
yang2024gla	Songlin Yang, Bailin Wang, Yikang Shen, Rameswar Panda, Yoon Kim	Gated Linear Attention Transformers with Hardware-Efficient Training	ICML 2024	2024	arXiv:2312.06635	The one clean gate-granularity ablation: at 340M/7B, per-channel vector gate 14.77 ppl vs data-dependent scalar 15.56. LM perplexity only; GLA runs NO state-tracking task.	confirmed
